title,heading,paragraph
How to Use a Dumpy Level: 14 Steps (with Pictures) - wikiHow,Find the height difference between your level and the benchmark spot.,"Look through your dumpy levels telescope and locate the E staff. Then, record the measurement indicated by your devices center, horizontal crosshair.[8] This measurement is known as your backsight. Each numbered section of your staff represents 10cm (3.9in). Within these sections, every block indicates 1cm (0.39in) and every E indicates 5cm (2.0in)."
How to Use a Dumpy Level: 14 Steps (with Pictures) - wikiHow,Calculate your levels actual height using the benchmark height.,"Once you have your backsight measurement, add it to your benchmark location's actual height. This will give you the current height of your dumpy levels telescope.[9] Record this measurement so you can use it to find the height of your next spot."
How to Use a Dumpy Level: 14 Steps (with Pictures) - wikiHow,Find the height difference between your level and the unmeasured spot.,"Move your E staff so it sits directly on top of the spot you want to measure. Use your devices telescope to find the staff, then record whatever number the devices center, horizontal cross hair sits over.[10] This measurement is known as your foresight. If necessary, adjust your eyepieces focusing knob until you can see the staff. If the spot is too high or far away for you to measure, move your staff to a lower, closer spot first. Find the height of this new spot, then move your dumpy level to it and restart the measuring process."
How to Use a Dumpy Level: 14 Steps (with Pictures) - wikiHow,Calculate the spots actual height using your levels height.,"Unlike with your previous calculation, youll need to subtract your foresight measurement from your dumpy levels actual height. This will give you the height of the spot you measured. When your record this height, make sure to include a thorough description or diagram of the spot you measured. That way, if you return to the area, youll be able to find the measured spot easily."
How to Be a Stunt Man: 15 Steps (with Pictures) - wikiHow,Develop a wide range of skills.,"Specializing can definitely help you land a gig -- if you're an expert martial artist, gymnast, or rock climber, that's great. But the more you know how to do, the more likely you'll be to wow stunt coordinators and to be perfect for roles that require multiple skills. If you want to be a stunt man, then chances are, you're already experienced in a field or two. Here are the most common skills that stunt men can possess: Fighting: Expert level skills in boxing, combat, or a martial art. Falling: The ability to fall from a variety of heights, some of which are over three stories high, and the ability to use trampolines. Riding and driving: High-level skills as a precision driver of cars or motorcycles, or expert level horseback riding skills. Agility and strength: Superior gymnastics or rock-climbing skills. Water skills: High level skills in scuba diving, underwater stunts, or advanced swimming. Miscellaneous sport: A superior skill level in tumbling, fencing, or wirework."
How to Be a Stunt Man: 15 Steps (with Pictures) - wikiHow,Know the lingo.,"If you want to sound like you know what you're talking about when you start your career as a stunt man, then you have to know the terms associated with the career. If a stunt director starts talking about wirework and you have a blank look on your face, you won't get very far. Here's what you need to know: Wirework: The ability to expertly use rigs, harnesses, and vests to perform aerial stunts, which include flying or falling action sequences. Tumbling: Performing gymnastics feats safely without using specialized equipment. These include front and back handsprings, somersaults, shoulder rolls, break falls, dive rolls, round-off back and front handsprings, and cartwheels. High falls: The ability to fall from three stories or higher, while landing on a box catcher or an airbag, without hurting yourself. You should be familiar with a variety of falls, such as twisting falls, headers, and step outs. Swordplay: Skillfully using swords, foils, or blades while in combat. This includes fencing or choreographed fight scenes. Horsework: The ability to ride horses skillfully and safely while performing stunts such as falling, jumping onto a horse, and engaging in swordplay while riding. Air ram: A device that uses compressed air and hydraulics to catapult a stunt person into the air. It's usually used to create the effect of an explosion, propelling the stunt person through the air as he is flying forward, backward, or somersaulting."
How to Be a Stunt Man: 15 Steps (with Pictures) - wikiHow,Consider going to school for specialized training.,"Though you don't need a bachelor's degree or formal training in any one arena to be a stunt person, it certainly couldn't hurt. You may already be a pro in certain areas from racing motorcycles to being a black belt in karate, but if you want to improve your skill set, then you should find a reputable school in your area, such as Rick Seaman's stunt driving school, which can help give you an edge.[1] [2] These programs will not guarantee you a job and some may cost a pretty penny, but if you need to hone your skills, this may be the safest way to do so."
How to Be a Stunt Man: 15 Steps (with Pictures) - wikiHow,Have a mentor.,"Though going to school to brush up on your skills or to gain new skills is a great way to improve your abilities and make yourself a more marketable and appealing stunt man, another great way to improve your chances of getting hired is to find a mentor. If there is a stunt man you admire, whether it's a stunt driver like Steve Kelso or Andy Gill or a Stunt Director like Spiro Razatos, then you would be very privileged to be able to get under his or her tutelage.[3] This doesn't mean you should annoy famous stunt men, but that if you are around them or find a way to know them, you would benefit greatly if you could ask them for advice on improving your skills. Often, this part can come later, after you've gotten your foot in the door; you won't have much luck finding a mentor in the stunt business if you have no experience whatsoever, unless you have some powerful connections."
How to Be a Stunt Man: 15 Steps (with Pictures) - wikiHow,Get a headshot.,"If you want to be taken seriously as a professional, then you'll need to get an 8 x 10 inch black and white headshot. You may need to invest some money in a professional photographer, or be careful about finding a trusted and talented friend with a stellar camera, but it will be worth it. You won't be taken seriously if all you have is a selfie or a cheap Polaroid, so make sure to follow through on this part. A good headshot can help you look like a professional, and can also help stunt coordinators or producers see whether you have the look they want. A headshot is like your business card as a stunt man; if you don't have one readily available, then how do you expect people you meet in the business to remember you?"
How to Be a Stunt Man: 15 Steps (with Pictures) - wikiHow,Build your rsum.,"You may think that you don't need a rsum to be a stunt man because so much of the work is physical, but that's not the case. You should treat your career just like any other, where a rsum is crucial to helping the people who are hiring you to figure out if you're good for the part. The most important thing is remember is that you have to be honest. Don't try to impress people by saying you have skills you don't really possess, or you will be in trouble -- and even possibly in danger -- if you're picked for the role. Here are some important elements that you should list on your rsum: Your height, weight, shoe size, and any other physical measurements Your union affiliation (more on this later) Film and TV credits (if you have any) A list of skills or special abilities, such as rock climbing, scuba diving, boxing, or martial arts"
How to Be a Stunt Man: 15 Steps (with Pictures) - wikiHow,Join a union.,"If you want to find work as a stunt man, then you have to join a union, so that you can be legally hired to perform in films, music videos, or television. In America, the two major unions are the Screen Actors Guild (SAG), which is the more prestigious of the two, or the American Federation of Television and Radio Artists. In England, you will have to join the Join Industry Stunt Committee's Stunt Register (JISC); look into the guilds in your country if these do not apply to you. Getting into a guild is hard work. One way you can get in, if you're lucky, is to get waved in in case a stunt coordinator isn't able to find a person with the combination of skills and build that you have to do a certain job (for example, if you're four foot five and can climb a mountain). Another way of getting in is to try to get work on a SAG or other union film as an extra for at least three separate days. Get an extras voucher after every day and turn in those three vouchers to make yourself eligible to join a union -- though this still doesn't guarantee that you'll get to join."
How to Be a Stunt Man: 15 Steps (with Pictures) - wikiHow,Land your first gig.,"If you get lucky, you can land a gig with a great headshot and impressive rsum on a non-union project. But if you want to hit the big leagues and find work on a union project, then you have to obtain a production list from the union you've joined; this will contain all of the local union productions that are shooting near you; you will have to sent the stunt coordinator your headshot, rsum, and a brief letter, and hope to get picked for the job. Even if you don't get picked, the coordinator will have your rsum on file for future gigs. While you're waiting for a call, you should try to get some more experience on (union-only) sets, to get a feel for what the job is like."
How to Be a Stunt Man: 15 Steps (with Pictures) - wikiHow,Be patient.,"You may not land your first gig right away. Or you may get lucky and land your first gig, and then there's the months-long radio silence before you hear from a producer again. That's perfectly natural. This is an extremely hard business to break in to, especially if you don't have any connections, and waiting is part of the game. Though you should continue to put yourself out there, you should be prepared to find other work in the meantime, and to stay motivated to succeed, even if you haven't gotten a gig in a while."
How to Be a Stunt Man: 15 Steps (with Pictures) - wikiHow,Consider another career in your field.,"Being a stunt man is exciting work, but you may not be able to do it forever, whether you're becoming prone to injury, getting older, or just no longer wanting to be part of a risky profession. If you're tired of being a stunt man or a stunt driver but you've gained a lot of experience, then you don't have to quit your field completely; instead, you can find a way to take a more management-related role while still staying in the stunt world. Here are some other roles you can take on: Stunt rigger: To be a stunt rigger, you should not only be an experienced stunt performer, but you should have an understanding of the mechanics of stunt equipment. You should have safety as your first priority, and will perform a variety of tasks, from testing and tearing down stunt equipment on the set to arranging landing pads for falls and positioning wires and harnesses correctly. Stunt coordinator: This is the head of the stunt department, the person who works closely with the director to create the action sequences in the film, or even to suggest alternative stunt scenarios when it is necessary. The stunt coordinator designs the desired stunts, hires the stunt crew, manages the budget, and makes sure all of the stunts are performed safely. Second unit director: The person in charge of filming the stunt scenes, as opposed to the stunt coordinator, who is responsible for staging the actual stunts. As the second unit director, you will film scenes of the stunt performers in action as well as exterior shots of the scenes which can be used in post-production. Although these directors may have experience in stunt work, then must also be experienced in filming and directing."
How to Be a Stunt Man: 15 Steps (with Pictures) - wikiHow,Follow directions.,"You may think that your best chance of success comes from showing off, trying to impress the film crew, and boasting about all of your additional skills. Once you've become a veteran stunt man, then sure, you will have more leeway, and you may even be consulted as a stunt coordinator or producer, but when you're trying to get your foot in the door, it's important to be as agreeable as possible. You want to be remembered as someone who is easy to work with. Why? So you can get hired again. When you're following directions, it's important to be polite and reasonable when you interact with the crew. If you genuinely have a question about how a stunt should be performed, ask away, but don't nitpick everything that's happening or slow down the process."
How to Be a Stunt Man: 15 Steps (with Pictures) - wikiHow,Be prepared for long hours.,"Being a stunt person doesn't mean falling out of a helicopter for three takes and then calling it a day. It can mean over 14 hours on a set, working nights, and staying mentally and physically alert throughout the process. This is a full-time job, and once you start landing enough gigs, you must be able to commit to the time that you'll need to succeed in your role. In the beginning, you may be juggling other work along with stunt work, but if you've hit the big leagues, you must be ready to give it your all.[4] This means that you'll need endurance to succeed at the job. If you get winded after an our of fighting or feel ready for a nap after rock climbing for an afternoon, then you need to build up your mental and physical strength."
How to Be a Stunt Man: 15 Steps (with Pictures) - wikiHow,Be prepared to travel.,"If you're a true stunt man, then you won't be spending your life filming within a thirty mile radius of your comfy home, not even if you live in Hollywood, CA. You'll be traveling to the Caribbean to film a jet-skiing sequence. You might find yourself in Peru to shoot a rock climbing scene. You might even be in Germany for a high-speed car chase. This means long hours on airplanes, and needing to get over jet lag before you hit those jet-skiis. Sure, this will be exciting, thrilling work, but you'll need to be prepared for all of the travel it involves.[5] As you get older, all of the traveling may become more difficult because you'll have to find a way to make time for your family, if you have one."
How to Be a Stunt Man: 15 Steps (with Pictures) - wikiHow,Stay physically strong.,"Most stunt men are at the peak of their careers between their 20s and 40s, which means that you have to stay in the best possible shape during these years. This means not engaging in risky behavior, whether you're on the job or hanging out with friends, and avoiding overindulgence in food or drink, which can wear down your body and make you feel horrible when you show up to work. Eat healthy, get enough rest, and make sure to exercise as often as you can, doing a mixture of cardiovascular and strength training, so you're fit enough to do the job.[6] Another way to stay strong is to continue to brush up on your skills, whether you're practicing karate or swimming. If you want to stay physically strong, then you have to keep your mind strong, too. You can't let the dangers of the job get to you and you have to stay focused and positive if you want to succeed in the long run."
How to Be a Stunt Man: 15 Steps (with Pictures) - wikiHow,Be a master at risk management.,"Being a stunt man doesn't mean recklessly jumping out of three story windows, playing with fire, or crashing a motorcycle into a tree because you weren't careful. Stunt men have families, drive, and exciting careers, which means that they love what they do and want to stay alive to continue doing it. When you get training on how to fall without hurting yourself, drive without crashing, and swim without drowning, etc, you should heed those words carefully, and not go out of bounds to show off if it means risking your life.[7] A study conducted by the University of Illinois at Chicago showed that there were 37 fatalities on film or TV sets between 1980-1989 by stunt men and women alone; a study by the Screen Actors Guild (SAG) showed that 4,998 of its members were injured between the years of 1982-1986, mostly because of stunts. This is a risky business, and you need to stay rational and focused if you don't want to become a statistic. Something can always go wrong, on the set of a Harry Potter movie, Daniel Radcliffe's stunt double David Holmes was left paralyzed and suffered serious spine injures, after a test run for a flying scene went wrong. He is set to spend the rest of his life in a wheelchair. Even if you don't get hurt while demonstrating reckless behavior, you don't want to develop a reputation for being reckless, or no one will want to work with you. What producer would want the reputation of having a stunt man die or fall to serious injury on his set? You need to work on your risk-management skills, not your risk-taking skills. Being a good stunt man is all about being safe, not risking your life."
3 Ways to Always Be in a Good Mood - wikiHow,Exercise your way to a good mood.,"Exercise stimulates the release of the biochemicals endorphins and norepinephrine. Endorphins decrease the sensation of pain and norepinephrine may contribute to the regulation of mood.[2] In addition to the chemical effects of exercise, regular workouts will help you feel good about yourself. Workout for at least half an hour, at least five days a week, to maintain the mood-elevating effects of exercise. There's no need to join a gym or hire a trainer. A brisk walk is usually all it takes to get your chemicals flowing."
3 Ways to Always Be in a Good Mood - wikiHow,"Eat a healthy, well balanced diet.","A healthy diet also contributes to general feelings of wellbeing, but some vitamins and minerals especially may help to boost mood. B vitamins may help improve mood, so load up on green vegetables, like asparagus. Omega-3 fatty acids, found in fish and eggs, may protect against the effects of stress. To satisfy your sweet tooth, eat two ounces of dark chocolate each day. Chocolate with at least 70% cocoa has been shown to reduce the levels of cortisol, a stress hormone."
3 Ways to Always Be in a Good Mood - wikiHow,Sleep well.,"Sleep deprivation can contribute to irritability and poor mood regulation. Quality sleep will increase energy and help you manage stress. The optimum amount of sleep varies for individual, but for most adults it's between seven and nine hours.[3] Sleeping more than this generally will not improve your mood and may actually make you feel depressed or tired."
3 Ways to Always Be in a Good Mood - wikiHow,Learn to reframe negative thoughts.,"Notice when your self-talk or thoughts become pessimistic, abusive, defeatist, or negative. Then consciously take that thought and reframe it in a positive way.[4] This corrects faulty thinking and gives you a better chance of being happy and successful.[5] If you catch yourself thinking, ""This project is too huge. I'll never finish it by the due date,"" try reframing your thinking to set yourself up for success. Instead, say ""This is going to be a challenge, but if I break the assignment down into smaller parts and manage my time, I will get it done.""[6] If your friend snapped at you and you immediately think, ""She hates me,"" reconsider. Reframe with something like, ""I know she's going through an extremely stressful time and probably isn't aware of her attitude and demeanor. That response had nothing to do with me."" Reframing takes a conscious effort on your part, but it can help you change the tone of your self-talk into something positive, supportive, and kind.[7]"
3 Ways to Always Be in a Good Mood - wikiHow,"Smile, even if you don't feel like it.","Facial expression seems to have a moderate effect on mood, though scientists don't fully understand why. The act of smiling may induce feelings of happiness, so smile frequently.[8] The more you smile, the more others will smile at you. This will also improve mood and make social interactions more pleasant."
3 Ways to Always Be in a Good Mood - wikiHow,Listen to upbeat and inspirational music.,"Happy music can instantly improve your mood and increase awareness of positive attributes of others and your environment.[9] Try starting each day by listening to upbeat music while you get dressed.[10] Keep headphones with you so you can give your mood a boost periodically throughout the day. Reader Poll: We asked 168 wikiHow readers for their preferred method for grounding themselves to deal with negative feelings, and 48% of them said listening to calming music or sounds. [Take Poll] So, try some soothing music to help you stay calm and relaxed."
3 Ways to Always Be in a Good Mood - wikiHow,Find a hobby you love.,"Spend a little time each day doing something you enjoy. This will give you something to look forward to and provide a brief escape from stress. For added benefit, start hobbies that require you to go outside. Spending time in nature will contribute to positive mood.[11]"
3 Ways to Always Be in a Good Mood - wikiHow,Meditate regularly.,"Meditating helps to manage stress and improve mood. Schedule 20 minutes each day to maintain the benefits of meditation, and take breaks for additional meditation during times of stress. Meditating takes practice, so be patient. Find a quiet place to practice meditation. Close your eyes or focus on a central object, like a candle flame, to reduce visual distractions. Focus your attention on your breathing. If you struggle with distractions, counting the duration as you inhale and exhale may help. Consider taking a class for guided meditation to improve your technique. Local yoga studios may offer classes."
3 Ways to Always Be in a Good Mood - wikiHow,Keep a gratitude journal.,Take time each day to acknowledge all of the things you have to be grateful for. This will help you maintain a positive attitude and a pleasant mood.[12] Share your good mood by sharing entries of your gratitude journal with those whose actions made it into your journal.
3 Ways to Always Be in a Good Mood - wikiHow,Engage your social network.,"Connecting with others increases self-worth and establishes a sense of belonging, contributing to general wellbeing.[13] Maintain and strengthen relationships with friends and family through regular contact. Schedule time to make phone calls and visits each week.[14] Schedule walks with friends to combine outdoor exercise and social interaction."
3 Ways to Always Be in a Good Mood - wikiHow,Serve others.,"Volunteering to help others will improve your self-esteem and help you gain a little perspective. Realizing you are in a position to offer something to others will help you to focus on your strengths and resources, improving your mood. Contact your local community center or look up volunteering opportunities online.[15]"
3 Ways to Always Be in a Good Mood - wikiHow,Join a club or team.,"Combine a new hobby or exercise and socializing by joining a club or community sports league. This will improve mood by fostering a sense of belonging, and provide the added benefit of spending time doing something you enjoy. You can find descriptions of local clubs and social groups online, with a list of scheduled events.[16]"
3 Ways to Always Be in a Good Mood - wikiHow,Perform random acts of kindness.,"Random acts of kindness are a great way to boost your mood quickly, without requiring ongoing commitment. The acts don't need to be grand. Consider small gestures like buying coffee for the person behind you in line at a coffee shop, or giving a homeless person your lunch. Commit to performing a specific number of acts of kindness each day or each week. Write down each act and how it made you feel for an additional boost to your mood."
10 Ways to Be More Confident at School - wikiHow,"Think about the skills, personality traits, and qualities that you're proud of.","We all have days where we feel down about ourselves, but you have lots of great qualities! Take some time to think about or write down things that you like about yourself. Get out your journal or diary and make a list. This way you can remind yourself whenever you're feeling down. For example, you might love that you're compassionate and great at sports, or you might be proud that you're a little weird and fiercely loyal to your friends."
10 Ways to Be More Confident at School - wikiHow,Don't think negative things about yourself.,"Sure, we've all felt like we've made mistakes or that we could do better, but if you're constantly telling yourself that you can't achieve things or make friends, you'll start to believe it. Pay attention to the negative thoughts you have and put a stop to them.[1] If you start to think something negative, switch your focus and do something different like listening to music, going for a run, or focusing on a different subject. It might help to write down the negative thoughts you have. Then, read through them to find where they're coming from. Try to stop the source of these harmful thoughts."
10 Ways to Be More Confident at School - wikiHow,Learn from the mistake and move on.,"Instead of beating yourself up about it, think about what you learned or what you'd do differently next time, and keep going. Being afraid to make mistakes can stop you from learning and growing, so embrace them! Remember, everyone makes mistakes, even the most confident people.[2] You might mentally tell yourself, ""I messed up on that test, but now I know what to study for next time."""
10 Ways to Be More Confident at School - wikiHow,Don't take yourself too seriously if you mess up or embarrass yourself.,"You're human! Recognize that something funny happened and move on. The more you can laugh at yourself, the less pressure you put on yourself to do everything right. When people see that you can laugh at yourself, they may think you are confident.[3] This might take a little practice, but you'll become comfortable with humor over time."
10 Ways to Be More Confident at School - wikiHow,"Whatever you choose, wear something that makes you feel good about yourself.","You might put on your favorite outfit that you've had forever or splurge and treat yourself to new clothes. If you're self-conscious about your clothes, you probably won't be as outgoing and bold as you could be.[4] For example, if you love the way your favorite sweater makes you feel, wear it with a pair of jeans. If you've been saving up to buy a new top, get it and wear it to school! Play up what you like about your appearance. For example, if you love your green eyes, wear purple or green clothes that really make your eyes pop. Don't forget that you should be comfortable in your outfit, especially since you have to make it through the whole school day. Skip uncomfortable shoes or clothes that don't fit quite right."
10 Ways to Be More Confident at School - wikiHow,Get the answers you need while looking confident.,"Instead of staying silent and hoping that someone will ask the teacher what you want to find out, stick your hand up and ask away! The teacher will think that you're interested in the class and you'll find out what you needed to know.[5] If you find it hard to ask questions, set yourself a goal of asking 1 question in class every day. You may find that the more often you do this, the easier it becomes. Still afraid of asking questions in front of the class? Stick around after class or get there early to ask the teacher your question."
10 Ways to Be More Confident at School - wikiHow,Overcome your shy tendencies by socializing or talking in class.,"If you're used to putting your head down or waiting for others to speak, push yourself to raise your hand. Try to take little steps every day so you gradually build confidence.[6] Trying to socialize more? Say hi to someone new or ask someone how they're doing. Work your way up to longer conversations once you get to know the person and feel more comfortable."
10 Ways to Be More Confident at School - wikiHow,"Attend your classes, take notes, and do the homework.","If you make the effort to learn, you'll feel more confident that you know the material. This can make it easier to take part in class discussions, answer questions, or take tests without anxiety.[7] If you know you'll be missing class, ask a classmate to take notes for you or get your assignments."
10 Ways to Be More Confident at School - wikiHow,Develop your interests or make new friends.,"Think about the subjects and activities that you enjoy. Then, find ways to take classes or join clubs that you're passionate about. Chances are, you'll meet people that share the same interests and they may be easier to talk to.[8] For example, if you like German language class, join your school's German club. This gives you social opportunities to interact with schoolmates in a more casual setting. You might be scared to try out for a team you really want to join. Go to tryouts feeling confident in your abilities to play and to improve. Remember that you dont have to be an expert to get on the team, you just have to be willing to improve."
10 Ways to Be More Confident at School - wikiHow,Give yourself a pep talk when you need a confidence boost.,"If you know you'll be taking a test, talking in front of the class, or answering the teacher's questions, you might need extra self-assurance. Instead of panicking, take a few moments to remind yourself of your knowledge or abilities. Sit up straight and breathe deeply so you feel empowered.[9] For example, you could mentally remind yourself, ""I've studied hard and I know this material,"" or, ""Everyone's probably feeling nervous about this quiz, so I'm not alone."""
How to Identify Fenton Glass: 10 Steps (with Pictures) - wikiHow,Check for a sticker on the bottom of your item.,"Before 1970, Fenton glass was usually marked with oval stickers. Many of these stickers were lost or removed over time, but some of them are still attached. The stickers are often affixed to the bottom of the glass. Stickers may be an oval foil sticker with scalloped or smooth edges."
How to Identify Fenton Glass: 10 Steps (with Pictures) - wikiHow,Examine carnival glass for an oval logo starting from about 1970.,"The first Fenton logo to be stamped into the glass was the word Fenton inside of an oval. It can be found on carnival glass pieces including vases, dishes, and decorative items that were made starting in 1970.[1] This logo was added to hobnail glass pieces, which have a bumpy texture, beginning in 1972-1973. Some of Fentons markings are obscured during finishing treatments. If a mark isnt obvious immediately, look again more closely for a faint, raised oval.[2]"
How to Identify Fenton Glass: 10 Steps (with Pictures) - wikiHow,Check for a small number in the oval that denotes the year.,"In the 1980s, Fenton added a number 8 to the logo to indicate the decade when the pieces were made. They used a 9 during the 90s and a 0 from 2000 to the present. These numbers may be small and hard to see.[3]"
How to Identify Fenton Glass: 10 Steps (with Pictures) - wikiHow,Examine the piece for a cursive F in an oval.,"If your piece is marked with an F in an oval, it indicates that the glass mold was originally owned by a company other than Fenton, and Fenton later acquired that mold. This mark came into use in 1983.[4]"
How to Identify Fenton Glass: 10 Steps (with Pictures) - wikiHow,Check for a flame or a star on the piece.,"You may notice a flame which resembles the letter S, a solid star, or the outline of a star somewhere on your item. This indicates that the piece is a second, or was found to have some defect while still at the factory. These pieces can still be collectible. Beginning in 1998, an uppercase block F was used to mark seconds."
How to Identify Fenton Glass: 10 Steps (with Pictures) - wikiHow,"Check the bottom of the glass for a pontil mark, which Fenton doesn't have.","Some glass makers use punty rods to hold a glass piece during the crafting process. When its removed, it leaves a mark called a pontil mark. Fenton uses snap rings, so most of their pieces will not have a pontil mark. Pontil marks might look like a chip in the glass, a bumpy lump, or a dimple in the bottom of the glass. Fenton has created some offhand glass pieces which do have a pontil mark. These include some very rare pieces from the 1920s and a few contemporary hand blown collections."
How to Identify Fenton Glass: 10 Steps (with Pictures) - wikiHow,Purchase a collectors book or find a Fenton glassware catalogue.,"Study the pictures in your books to familiarize yourself with Fentons style. By studying existing pictures, youll be able to identify characteristics which distinguish Fenton from other manufacturers. [5] For instance, if you find a carnival glass dish featuring a peacock, you can distinguish it from other manufacturers of the period by noting that in a Fenton piece, the peacocks neck will be completely straight, while others curve slightly."
How to Identify Fenton Glass: 10 Steps (with Pictures) - wikiHow,Pay special attention to the bases and edges of Fentons glass.,"The base will have a flat, collared surface, or it may have a ball or spatula feet. The edges are often smooth, bracketed, crimped, or ruffled, and are one of Fentons most recognizable characteristics.[6] Fenton primarily produced carnival glass, which has an iridescent sheen, although some of their pieces are opalescent glass, which is translucent. Fenton also specialized in a form of glass known as Hobnail, which is covered with small button-like bumps.[7]"
How to Identify Fenton Glass: 10 Steps (with Pictures) - wikiHow,"Look for bubbles or flaws in the glass, which Fenton shouldn't have.","Fenton glass is extremely high quality, and it should be free of air bubbles or other flaws. If your piece has obvious manufacturing flaws, it is unlikely to be Fenton glass."
How to Identify Fenton Glass: 10 Steps (with Pictures) - wikiHow,Contact a Fenton dealer or an antique expert if you still have questions.,"Due to similarities between manufacturers, it can be very difficult to tell the difference between some pieces. If you aren't able to tell after examining your piece, look online to find a Fenton dealer or an antique dealer in your area who specializes in Fenton glass."
4 Ways to Firm Your Breasts - wikiHow,Wear supportive sports bras while you exercise.,"Breasts bounce and stretch with each jump or step. Exercising is a healthy habit for you, but just make sure to wear a fitted sports bra before heading out for a jog. Having the right sports bra will reduce the stress and strain exerted on the breast tissue and chest muscles. Try and stay away from compression bras that flatten your breasts against your chest wall. Compression bras will help reduce the up and down bouncing, but not the side-to-side movements because the bra is treating your breasts as a single moving unit. Instead, opt for an encapsulation bra that has separate molded cups that will support your breasts movement individually.[1] If you have large breasts, look for underwire sports bras with thick straps.[2]"
4 Ways to Firm Your Breasts - wikiHow,Replace your bras when the supportive bands stretch.,"If the innermost clasp on the bra no longer provides a tight, supportive fit, it is time to replace them. Breast size can change with hormones, weight fluctuations, and pregnancy, so get sized for a new bra if your current bra is uncomfortable or too loose.[3] If you normally wear your bra by hooking the loosest clasp, slowly start using the tighter clasps as the bra stretches. As the bra wears over time, this will help you get the most use out of your bra. Maintain the life of your bras by clasping them before you wash them. If you cant hand wash them, use the gentle cycle and place them in a mesh laundry bag to avoid stretching them.[4]"
4 Ways to Firm Your Breasts - wikiHow,Avoid exposing your chest to sunlight for long periods of time.,"Excess tanning without a top on, especially without the use of sunscreen, can dry out the tissue around your breasts and cause it to lose its elasticity. If you want to tan, try doing so sparingly and always wear sunscreen."
4 Ways to Firm Your Breasts - wikiHow,Practice good posture by keeping your back straight and your shoulders back.,"Having your back hunched and your shoulders rolled forward will relax your chest muscles and cause your breasts to droop. If this happens regularly, gravity will naturally begin to pull down on your breasts. By simply straightening your posture, you will keep the muscles around your chest toned and lift your breasts. Place a pillow behind your back if you find yourself slouching in a chair. If you are sitting on the floor, lean your back against a wall to keep you from hunching over."
4 Ways to Firm Your Breasts - wikiHow,Sleep on your back.,"If you favor one side while you sleep, you may find that the elevated breast sags and stretches more than the one against the mattress. By staying on your back, you can keep both breasts firmer longer. If you wear a bra to sleep, while you may experience the immediate rewards of perkier breasts in the morning, you can actually be doing long-term damage to your breasts. By wearing a bra at night, especially one with an underwire, you are steadily decreasing your breasts natural ability to self-lift.[5]"
4 Ways to Firm Your Breasts - wikiHow,Avoid weight fluctuations caused by yo-yo dieting.,"Going on and off your diet can lead to stretch marks and inelastic skin. When you gain weight, the skin around your breasts stretches. If you quickly lose that gained weight, your breasts may appear to sag more because the skin stretched. Over time, continuous weight fluctuation will cause your skin to lose its elasticity.[6] Try and come up with a realistic exercise and portion control regime that you will stick to. This will help break the cycle of the yo-yo dieting. You can have weight fluctuations from causes other than yo-yo dieting, but those reasons like hormone influxes, stress, and illness, may not be within your control to fix. Something like avoiding yo-yo dieting is."
4 Ways to Firm Your Breasts - wikiHow,Quit smoking to minimize tissue stretching and collagen breakdown.,"Nicotine breaks down the elastin, which is the elastic connective tissue in the skin around your breasts, and the collagen, which is responsible for making your breasts firm. While quitting smoking might not reverse damage already done to the elastin and collagen, it may stop the sagging process from worsening.[7] To get started, visit your general physician and discuss ways to begin safely quitting. Quitting smoking can be difficult and put stress on your body until it adjusts to being without nicotine. You want to speak to your doctor about any ongoing conditions or illnesses the stress of quitting might worsen.[8]"
4 Ways to Firm Your Breasts - wikiHow,Apply cold water on your chest.,"Cold water or even ice can help increase the elasticity of the skin around your breasts. After you have finished showering with hot water, rinse your breasts with cold water. Using cold water on your breasts works well in addition to a normal exercise routine. Since this method will only help the elasticity of the skin, it will not make your breasts firmer. Firming your breasts will require exercise. [9]"
4 Ways to Firm Your Breasts - wikiHow,Take a few laps in a local swimming pool to firm your bustline.,"Despite the fluidity of swimming, it takes a considerable amount of strength to do steadily. If you have access to a swimming pool, this can be an easy way to firm your breasts and get a great workout.[10] Practice doing freestyle strokes, breast strokes, and butterfly strokes to engage your core and chest muscles.[11]"
4 Ways to Firm Your Breasts - wikiHow,Do traditional push-ups to engage your chest and upper body muscles.,"While these may seem difficult to do at first, doing push-ups is an easy way to increase your muscle endurance without needing any extra equipment. As you increase your reps overtime, the muscles in your chest and core will strengthen and firm, lifting your breasts.[12] Your back should be straight the entire time when you are doing the push-ups. If your back bows, you will not effectively work your chest muscles. To help build up your muscles, you can start by doing push-ups on your knees, and then gradually work up to being able to do a traditional push-up."
4 Ways to Firm Your Breasts - wikiHow,Do weighted bench presses to tighten up your chest muscles.,"The weights will provide resistance to your chest and shoulder muscles, and will overtime lift your breasts. You can either use dumbbell weights or bar weights, whichever you are most comfortable with using.[13] Begin by lying flat on your back on an exercise bench and hold the weights with both hands. Keeping your back flat, push the weights away from your shoulders and into the air. Inhale as you bring the weights back down to your chest, and repeat the process 10 more times.[14] Bench presses can be dangerous since you are lifting the weights directly over your head. Make sure to have a spotter with you in case of an emergency.[15]"
